ATLAS,$4.43 B,$8.87 B,$29.60 B,$10.00
DRACO,$6.38 B,$12.30 B,$33.60 B,$9.51
GEMINI,$4.43 B,$8.87 B,$29.60 B,$10.00
HYDRA,$6.38 B,$12.30 B,$33.60 B,$9.51
JUPITER,$4.43 B,$8.87 B,$29.60 B,$10.00
LYNX,$6.38 B,$12.30 B,$33.60 B,$9.51
MARS,$4.43 B,$8.87 B,$29.60 B,$10.00
NEPTUNE,$6.38 B,$12.30 B,$33.60 B,$9.51
ORION,$4.43 B,$8.87 B,$29.60 B,$10.00
PLUTO,$6.38 B,$12.30 B,$33.60 B,$9.51
QUASAR,$4.43 B,$8.87 B,$29.60 B,$10.00
SATURN,$6.38 B,$12.30 B,$33.60 B,$9.51
TITAN,$4.43 B,$8.87 B,$29.60 B,$10.00
URSA,$6.38 B,$12.30 B,$33.60 B,$9.51
VENUS,$4.43 B,$8.87 B,$29.60 B,$10.00
