ATLAS,$0.59 B,$1.11 B,$3.76 B,$1.14
DRACO,$0.81 B,$1.54 B,$4.23 B,$1.05
GEMINI,$0.59 B,$1.11 B,$3.76 B,$1.14
HYDRA,$0.81 B,$1.54 B,$4.23 B,$1.05
JUPITER,$0.59 B,$1.11 B,$3.76 B,$1.14
LYNX,$0.81 B,$1.54 B,$4.23 B,$1.05
MARS,$0.59 B,$1.11 B,$3.76 B,$1.14
NEPTUNE,$0.81 B,$1.54 B,$4.23 B,$1.05
ORION,$0.59 B,$1.11 B,$3.76 B,$1.14
PLUTO,$0.81 B,$1.54 B,$4.23 B,$1.05
QUASAR,$0.59 B,$1.11 B,$3.76 B,$1.14
SATURN,$0.81 B,$1.54 B,$4.23 B,$1.05
TITAN,$0.59 B,$1.11 B,$3.76 B,$1.14
URSA,$0.81 B,$1.54 B,$4.23 B,$1.05
VENUS,$0.59 B,$1.11 B,$3.76 B,$1.14
