ATLAS,$0.58 B,$3.72 B,$1.11 B,$1.13
DRACO,$0.81 B,$4.17 B,$1.54 B,$1.07
GEMINI,$0.58 B,$3.72 B,$1.11 B,$1.13
HYDRA,$0.81 B,$4.17 B,$1.54 B,$1.07
JUPITER,$0.58 B,$3.72 B,$1.11 B,$1.13
LYNX,$0.81 B,$4.17 B,$1.54 B,$1.07
MARS,$0.58 B,$3.72 B,$1.11 B,$1.13
NEPTUNE,$0.81 B,$4.17 B,$1.54 B,$1.07
ORION,$0.58 B,$3.72 B,$1.11 B,$1.13
PLUTO,$0.81 B,$4.17 B,$1.54 B,$1.07
QUASAR,$0.58 B,$3.72 B,$1.11 B,$1.13
SATURN,$0.81 B,$4.17 B,$1.54 B,$1.07
TITAN,$0.58 B,$3.72 B,$1.11 B,$1.13
URSA,$0.81 B,$4.17 B,$1.54 B,$1.07
VENUS,$0.58 B,$3.72 B,$1.11 B,$1.13
